Order #,,Date/Time,Status,Order Type,Side,Symbol,Qty,Price,Cum Qty,,Leaves Qty
HJDB031235,,2020-10-27T14:00:27.114Z,PARTIALLY_FILLED,MKT,B,NIO,14,$27.23,14,,0.68968049
HJDB031235,,2020-10-27T14:00:27.326Z,FILLED,MKT,B,NIO,0.68968049,$27.23,14.68968049,,0
HJZU031273,,2020-10-27T14:01:02.822Z,FILLED,MKT,B,QQQ,0.69562129,$281.59,0.69562129,,0
HJYD019540,,2020-10-30T14:16:50.072Z,FILLED,S,S,PYPL,10,$189.76,10,,0
HKCF001741,,2020-11-03T14:30:00.356Z,PARTIALLY_FILLED,MKT,B,ICLN,37,$20.03,37,,0.38783649
HKCH001647,,2020-11-03T14:30:00.898Z,PARTIALLY_FILLED,MKT,B,QQQ,3,$271.96,3,,0.31284278
HKCF001741,,2020-11-03T14:30:02.746Z,FILLED,MKT,B,ICLN,0.44383424,$20.03,37.44383424,,0
HKCH001647,,2020-11-03T14:30:31.190Z,FILLED,MKT,B,QQQ,0.30931019,$271.96,3.30931019,,0
HKVV003081,,2020-11-03T20:29:31.153Z,FILLED,LMT,B,PYPL,1,$180.12,1,,0
HKDZ003158,,2020-11-03T20:33:49.268Z,FILLED,MKT,B,MSFT,0.34500241,$207.10,0.34500241,,0
HKPX014977,,2020-11-10T20:42:25.089Z,FILLED,LMT,B,PYPL,4,$182.88,4,,0
HKQQ015921,,2020-11-10T20:44:39.000Z,PARTIALLY_FILLED,MKT,B,ICLN,13,$21.15,13,,0.04586288
HKQQ015921,,2020-11-10T20:44:39.583Z,FILLED,MKT,B,ICLN,0.04586288,$21.15,13.04586288,,0
